,total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,censor_status,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,app_type,title,f0,f1,f2,f3,f4,early_return,early_return_amount,early_return_amount_3mon,industry_to_mean_f0,industry_to_mean_f1,industry_to_mean_f2,industry_to_mean_f3,industry_to_mean_f4,issue_date_month,issue_date_year,issue_date_dayofweek,earliesCreditMon,earliesCreditYear,isDefault
0,31818.18182,3,11.466,1174.91,3,0,0,3,0,1,2,193,13,2.43,0,556.3636364,649.0909091,3,0,0.0,7734.230769,91.8,0,0,5,1.0,0.0,4.0,5.0,4.0,3,9927,0.0,5.65438919582566,0.001841620626151013,8.295887047268263,14.63597298956415,8.021485573971761,10,2016,5,12,2001,0
1,28000.0,5,16.841,670.69,3,0,0,10,0,2,0,491,30,11.00454545,1,715.0,893.75,3,0,0.0,31329.0,54.8,1,0,40642,7.0,0.0,4.0,45.0,22.0,0,0,0.0,5.65438919582566,0.001841620626151013,8.295887047268263,14.63597298956415,8.021485573971761,6,2013,5,4,1990,1
2,17272.72727,3,8.9,603.32,1,0,1,10,1,0,4,459,8,6.409090909,0,774.5454545,903.6363636,5,0,0.0,18514.0,57.69230769,1,0,154,6.0,0.0,6.0,28.0,19.0,0,0,0.0,5.7192488262910794,0.0018779342723004694,8.382159624413145,14.970892018779344,8.232863849765259,1,2014,2,10,1991,0
3,20000.0,3,4.788,602.3,1,1,2,6,0,1,0,157,8,9.204545455,0,750.0,875.0,3,0,0.0,20707.0,42.6,0,0,0,5.0,0.0,10.0,15.0,9.0,0,0,0.0,5.689785624211853,0.0012610340479192938,8.455233291298866,14.557377049180328,8.064312736443885,7,2015,2,6,2001,0
4,15272.72727,3,12.79,470.31,3,0,3,0,2,1,0,38,21,15.57818182,0,609.0909091,710.6060606,15,0,0.0,14016.15385,30.46153846,0,0,0,10.0,0.0,6.0,15.0,4.0,0,0,0.0,5.742574257425742,0.0037128712871287127,8.361386138613861,14.574257425742575,8.042079207920793,7,2016,4,5,2001,0
5,25454.54545,3,10.637,899.15,2,2,3,10,0,1,0,258,8,15.80727273,0,636.3636364,689.3939394,4,0,0.0,16084.92308,58.89230769,0,0,28,6.0,0.0,6.0,20.0,15.0,0,0,0.0,5.742574257425742,0.0037128712871287127,8.361386138613861,14.574257425742575,8.042079207920793,11,2013,4,1,1983,0
6,9090.909091,5,15.741,234.3,3,3,0,10,1,2,0,58,17,4.243636364,1,600.0,650.0,9,1,1.0,1527.076923,17.01538462,0,0,0,4.0,0.0,9.0,25.0,6.0,0,0,0.0,5.65438919582566,0.001841620626151013,8.295887047268263,14.63597298956415,8.021485573971761,12,2014,0,10,2001,0
7,10288.63636,3,11.49,414.62,2,4,4,2,1,1,4,242,8,2.227272727,0,690.0,805.0,4,0,0.0,5082.0,34.7,0,0,4,4.0,0.0,0.0,9.0,9.0,0,0,0.0,5.559602649006623,0.0,8.182119205298013,14.95364238410596,8.135761589403973,3,2017,2,10,2001,0
8,6818.181818,3,20.064,272.05,4,4,0,0,0,2,0,165,17,22.93090909,0,600.0,750.0,9,1,1.0,18810.0,88.61538462,0,0,0,6.0,0.0,2.0,34.0,22.0,0,0,0.0,5.65438919582566,0.001841620626151013,8.295887047268263,14.63597298956415,8.021485573971761,7,2014,1,11,1971,0
9,10800.0,3,14.33,339.95,3,2,5,4,1,1,0,263,0,21.22363636,0,564.5454545,705.6818182,8,0,0.0,3433.846154,93.34615385,0,0,37768,3.0,0.0,15.0,6.0,6.0,0,0,0.0,5.733186328555678,0.0,8.240352811466373,14.776185226019846,8.286659316427784,7,2013,0,12,2001,0
10,14727.27273,5,12.897,421.92,3,0,6,3,1,1,0,14,11,24.5,0,636.3636364,689.3939394,18,0,0.0,27758.76923,69.1,1,0,35995,4.0,0.0,8.0,11.0,9.0,0,0,0.0,5.549715909090909,0.0,8.461647727272727,14.680397727272727,7.9928977272727275,7,2013,0,7,2001,0
11,6400.0,3,20.889,234.57,5,2,0,0,2,2,0,296,5,37.56,1,725.4545455,906.8181818,8,0,0.0,13980.0,69.57692308,1,0,0,3.0,0.0,6.0,16.0,9.0,0,0,0.0,5.65438919582566,0.001841620626151013,8.295887047268263,14.63597298956415,8.021485573971761,10,2014,2,8,1991,0
12,29454.54545,3,6.489,1115.04,1,0,7,0,2,1,0,49,12,29.72454545,0,668.1818182,779.5454545,24,0,0.0,31375.07692,48.34615385,0,1,0,8.0,0.0,24.0,30.0,10.0,0,0,0.0,5.486378205128205,0.002403846153846154,8.621794871794872,14.685096153846153,8.149038461538462,10,2017,6,5,1991,0
13,1636.363636,3,17.091,65.98,4,4,5,10,1,1,0,255,9,23.14,0,660.0,770.0,6,2,0.0,5049.0,108.7692308,0,0,0,3.0,0.0,6.0,4.0,2.0,0,0,0.0,5.733186328555678,0.0,8.240352811466373,14.776185226019846,8.286659316427784,5,2016,6,8,2001,0
14,20415.90909,5,15.291,429.24,4,4,7,10,0,0,0,408,14,29.40909091,0,685.0,799.1666667,6,0,0.0,21566.53846,82.3,0,0,0,3.0,0.0,10.0,9.0,6.0,0,0,0.0,5.486378205128205,0.002403846153846154,8.621794871794872,14.685096153846153,8.149038461538462,7,2015,2,2,2001,0
15,5500.0,3,12.62,184.32,3,4,5,0,1,0,0,549,8,36.76363636,1,605.4545455,706.3636364,10,0,0.0,7252.0,29.26153846,0,0,0,4.0,0.0,6.0,9.0,4.0,0,0,0.0,5.733186328555678,0.0,8.240352811466373,14.776185226019846,8.286659316427784,2,2018,3,12,1989,0
16,35000.0,5,12.69,790.82,3,5,6,3,0,2,0,19,14,27.45,0,805.0,939.1666667,17,0,0.0,3976.615385,8.615384615,0,0,0,3.0,0.0,10.0,18.0,6.0,0,0,0.0,5.549715909090909,0.0,8.461647727272727,14.680397727272727,7.9928977272727275,4,2015,2,12,1995,1
